User id,Password,Role
student_0@mycsu.edu,VwxghqwSdvv123,student
student_1@mycsu.edu,VwxghqwSdvv123,student
student_2@mycsu.edu,VwxghqwSdvv123,student
student_3@mycsu.edu,VwxghqwSdvv123,student
student_4@mycsu.edu,VwxghqwSdvv123,student
student_5@mycsu.edu,VwxghqwSdvv123,student
student_6@mycsu.edu,VwxghqwSdvv123,student
student_7@mycsu.edu,VwxghqwSdvv123,student
student_8@mycsu.edu,VwxghqwSdvv123,student
student_9@mycsu.edu,VwxghqwSdvv123,student
student_10@mycsu.edu,VwxghqwSdvv123,student
student_11@mycsu.edu,VwxghqwSdvv123,student
student_12@mycsu.edu,VwxghqwSdvv123,student
student_13@mycsu.edu,VwxghqwSdvv123,student
student_14@mycsu.edu,VwxghqwSdvv123,student
student_15@mycsu.edu,VwxghqwSdvv123,student
student_16@mycsu.edu,VwxghqwSdvv123,student
student_17@mycsu.edu,VwxghqwSdvv123,student
student_18@mycsu.edu,VwxghqwSdvv123,student
student_19@mycsu.edu,VwxghqwSdvv123,student
student_20@mycsu.edu,VwxghqwSdvv123,student
student_21@mycsu.edu,VwxghqwSdvv123,student
student_22@mycsu.edu,VwxghqwSdvv123,student
student_23@mycsu.edu,VwxghqwSdvv123,student
student_24@mycsu.edu,VwxghqwSdvv123,student
student_25@mycsu.edu,VwxghqwSdvv123,student
student_26@mycsu.edu,VwxghqwSdvv123,student
student_27@mycsu.edu,VwxghqwSdvv123,student
student_28@mycsu.edu,VwxghqwSdvv123,student
student_29@mycsu.edu,VwxghqwSdvv123,student
student_30@mycsu.edu,VwxghqwSdvv123,student
student_31@mycsu.edu,VwxghqwSdvv123,student
student_32@mycsu.edu,VwxghqwSdvv123,student
student_33@mycsu.edu,VwxghqwSdvv123,student
student_34@mycsu.edu,VwxghqwSdvv123,student
student_35@mycsu.edu,VwxghqwSdvv123,student
student_36@mycsu.edu,VwxghqwSdvv123,student
student_37@mycsu.edu,VwxghqwSdvv123,student
student_38@mycsu.edu,VwxghqwSdvv123,student
student_39@mycsu.edu,VwxghqwSdvv123,student
student_40@mycsu.edu,VwxghqwSdvv123,student
student_41@mycsu.edu,VwxghqwSdvv123,student
student_42@mycsu.edu,VwxghqwSdvv123,student
student_43@mycsu.edu,VwxghqwSdvv123,student
student_44@mycsu.edu,VwxghqwSdvv123,student
student_45@mycsu.edu,VwxghqwSdvv123,student
student_46@mycsu.edu,VwxghqwSdvv123,student
student_47@mycsu.edu,VwxghqwSdvv123,student
